family,n,p,load,giant_fraction,component_fraction,susceptibility,spanning_probability,relief_exhaustion,agreement,terrynce_score,terrynce_gradient,giant_gradient
square_bond,32,0.56,0.56,0.81683349609375,0.068023681640625,20.607927317567672,1.0,0.931976318359375,0.628023681640625,0.3277697912484408,0.9791223476454604,4.484558105468771
square_bond,32,0.57,0.57,0.860260009765625,0.059967041015625,11.817631184490335,1.0,0.940032958984375,0.629967041015625,0.33754817552827293,1.0199157216772439,2.0584106445312598
square_bond,32,0.58,0.58,0.858001708984375,0.055694580078125,20.468152173772033,1.0,0.944305419921875,0.635694580078125,0.3481681056819856,1.0427635344304123,2.1316528320312482
square_bond,32,0.59,0.59,0.90289306640625,0.04827880859375,7.707407968027261,1.0,0.95172119140625,0.63827880859375,0.3584034462168812,1.0475110330805188,2.7786254882812473
square_bond,32,0.6,0.6,0.91357421875,0.042510986328125,8.392894367626328,1.0,0.957489013671875,0.642510986328125,0.369118326343596,1.1259781398624231,1.0101318359374991
square_bond,32,0.61,0.61,0.923095703125,0.04150390625,5.574512223367057,1.0,0.95849609375,0.65150390625,0.3809230090141297,1.1243005406483977,1.5411376953124987
square_bond,32,0.62,0.62,0.94439697265625,0.033538818359375,4.070993603296273,1.0,0.966461181640625,0.653538818359375,0.39160433715656395,1.1446700681000916,1.1245727539062491
square_bond,32,0.63,0.63,0.945587158203125,0.03253173828125,5.066229204991149,1.0,0.96746826171875,0.66253173828125,0.40381641037613153,1.2089340275153533,0.39672851562499967
square_bond,32,0.64,0.64,0.95233154296875,0.029205322265625,4.903049624723402,1.0,0.970794677734375,0.669205322265625,0.41578301770687104,1.1952038589678737,0.7797241210937493
square_bond,32,0.65,0.65,0.961181640625,0.024688720703125,3.4575730805724483,1.0,0.975311279296875,0.674688720703125,0.427720487555489,1.2070679485797893,0.7934570312499993
square_bond,32,0.66,0.66,0.96820068359375,0.0205078125,3.946798354406076,1.0,0.9794921875,0.6805078125,0.43992437667846684,1.2915460334904472,0.2304077148437498
square_bond,32,0.67,0.67,0.965789794921875,0.0225830078125,3.0180503530769176,1.0,0.9774169921875,0.6925830078125,0.453551408225298,1.3062976691126842,0.36315917968749967
square_bond,32,0.68,0.68,0.9754638671875,0.01776123046875,2.1994833763389274,1.0,0.98223876953125,0.69776123046875,0.46605033006072055,1.3041885935515145,0.4745483398437522
square_bond,32,0.69,0.69,0.97528076171875,0.01751708984375,2.674678129696271,1.0,0.98248291015625,0.70751708984375,0.47963518009632816,1.3388570689037433,0.31433105468750144
square_bond,32,0.7,0.7,0.98175048828125,0.014129638671875,2.0007190438239286,1.0,0.985870361328125,0.714129638671875,0.4928274714387953,1.3624685595929624,0.2990722656249997
square_bond,32,0.71,0.71,0.98126220703125,0.01422119140625,2.1563323642136294,1.0,0.98577880859375,0.72422119140625,0.5068845512881874,1.3872891096398237,0.24719238281249978
square_bond,32,0.72,0.72,0.9866943359375,0.01123046875,1.742889392669183,1.0,0.98876953125,0.73123046875,0.5205732536315918,1.3957615434378388,0.3112792968749997
square_bond,32,0.73,0.73,0.98748779296875,0.010009765625,1.9035795643017972,1.0,0.989990234375,0.740009765625,0.5347997821569442,1.4316604224964988,0.1327514648437499
square_bond,32,0.74,0.74,0.989349365234375,0.008636474609375,1.8050365695248443,1.0,0.991363525390625,0.748636474609375,0.5492064620815218,1.4562324472703045,0.2120971679687498
square_bond,32,0.75,0.75,0.991729736328125,0.007843017578125,1.3484032460594961,1.0,0.992156982421875,0.757843017578125,0.5639244311023504,nan,nan
square_bond,48,0.35,0.35,0.024576822916666668,0.3306070963541667,10.160577429542426,0.0,0.6693929036458333,0.6806070963541667,0.15945774616466626,nan,nan
square_bond,48,0.36,0.36,0.031317816840277776,0.3182373046875,11.184802595363934,0.0,0.6817626953125,0.6782373046875,0.1664628814458847,0.7005571323964337,0.42317708333333304
square_bond,48,0.37,0.37,0.033040364583333336,0.2952473958333333,13.446271916334874,0.0,0.7047526041666667,0.6652473958333333,0.17346888881259495,0.7073021357074182,0.46115451388888873
square_bond,48,0.38,0.38,0.04054090711805556,0.2814805772569444,15.357848143466299,0.0,0.7185194227430556,0.6614805772569444,0.18060892416003307,0.7112013780960318,0.7941351996527769
square_bond,48,0.39,0.39,0.04892306857638889,0.2630343967013889,17.65691922394418,0.0,0.7369656032986112,0.6530343967013889,0.1876929163745156,0.7216472925595304,0.5737304687499991
square_bond,48,0.4,0.4,0.05201551649305555,0.2510579427083333,20.96075517637622,0.0,0.7489420572916667,0.6510579427083333,0.1950418700112237,0.73152846850731,0.31806098090277857
square_bond,48,0.41,0.41,0.05528428819444445,0.23539225260416666,24.001774825313127,0.0,0.7646077473958334,0.6453922526041667,0.20232348574466177,0.7171376634747914,1.5252007378472252
square_bond,48,0.42,0.42,0.08251953125,0.2153998480902778,28.01500767724134,0.0,0.7846001519097222,0.6353998480902778,0.2093846232807195,0.7370850202514775,1.7693413628472208
square_bond,48,0.43,0.43,0.0906711154513889,0.2048611111111111,35.05145551976856,0.0,0.7951388888888888,0.6348611111111111,0.21706518614969134,0.7431125381625722,1.0464138454861103
